,Symbol
0,MMM
1,ABT
2,ABBV
3,ABMD
4,ACN
5,ATVI
6,ADBE
7,AMD
8,AAP
9,AES
10,AFL
11,A
12,APD
13,AKAM
14,ALK
15,ALB
16,ARE
17,ALGN
18,ALLE
19,LNT
20,ALL
21,GOOGL
22,GOOG
23,MO
24,AMZN
25,AMCR
26,AEE
27,AAL
28,AEP
29,AXP
30,AIG
31,AMT
32,AWK
33,AMP
34,ABC
35,AME
36,AMGN
37,APH
38,ADI
39,ANSS
40,ANTM
41,AON
42,AOS
43,APA
44,AAPL
45,AMAT
46,APTV
47,ADM
48,ANET
49,AJG
50,AIZ
51,T
52,ATO
53,ADSK
54,ADP
55,AZO
56,AVB
57,AVY
58,BKR
59,BLL
60,BAC
61,BK
62,BAX
63,BDX
64,BRK.B
65,BBY
66,BIO
67,BIIB
68,BLK
69,BA
70,BKNG
71,BWA
72,BXP
73,BSX
74,BMY
75,AVGO
76,BR
77,BF.B
78,CHRW
79,COG
80,CDNS
81,CZR
82,CPB
83,COF
84,CAH
85,KMX
86,CCL
87,CARR
88,CTLT
89,CAT
90,CBOE
91,CBRE
92,CDW
93,CE
94,CNC
95,CNP
96,CERN
97,CF
98,CRL
99,SCHW
100,CHTR
101,CVX
102,CMG
103,CB
104,CHD
105,CI
106,CINF
107,CTAS
108,CSCO
109,C
110,CFG
111,CTXS
112,CLX
113,CME
114,CMS
115,KO
116,CTSH
117,CL
118,CMCSA
119,CMA
120,CAG
121,COP
122,ED
123,STZ
124,COO
125,CPRT
126,GLW
127,CTVA
128,COST
129,CCI
130,CSX
131,CMI
132,CVS
133,DHI
134,DHR
135,DRI
136,DVA
137,DE
138,DAL
139,XRAY
140,DVN
141,DXCM
142,FANG
143,DLR
144,DFS
145,DISCA
146,DISCK
147,DISH
148,DG
149,DLTR
150,D
151,DPZ
152,DOV
153,DOW
154,DTE
155,DUK
156,DRE
157,DD
158,DXC
159,EMN
160,ETN
161,EBAY
162,ECL
163,EIX
164,EW
165,EA
166,EMR
167,ENPH
168,ETR
169,EOG
170,EFX
171,EQIX
172,EQR
173,ESS
174,EL
175,ETSY
176,EVRG
177,ES
178,RE
179,EXC
180,EXPE
181,EXPD
182,EXR
183,XOM
184,FFIV
185,FB
186,FAST
187,FRT
188,FDX
189,FIS
190,FITB
191,FE
192,FRC
193,FISV
194,FLT
195,FMC
196,F
197,FTNT
198,FTV
199,FBHS
200,FOXA
201,FOX
202,BEN
203,FCX
204,GPS
205,GRMN
206,IT
207,GNRC
208,GD
209,GE
210,GIS
211,GM
212,GPC
213,GILD
214,GL
215,GPN
216,GS
217,GWW
218,HAL
219,HBI
220,HIG
221,HAS
222,HCA
223,PEAK
224,HSIC
225,HSY
226,HES
227,HPE
228,HLT
229,HOLX
230,HD
231,HON
232,HRL
233,HST
234,HWM
235,HPQ
236,HUM
237,HBAN
238,HII
239,IEX
240,IDXX
241,INFO
242,ITW
243,ILMN
244,INCY
245,IR
246,INTC
247,ICE
248,IBM
249,IP
250,IPG
251,IFF
252,INTU
253,ISRG
254,IVZ
255,IPGP
256,IQV
257,IRM
258,JKHY
259,J
260,JBHT
261,SJM
262,JNJ
263,JCI
264,JPM
265,JNPR
266,KSU
267,K
268,KEY
269,KEYS
270,KMB
271,KIM
272,KMI
273,KLAC
274,KHC
275,KR
276,BBWI
277,LHX
278,LH
279,LRCX
280,LW
281,LVS
282,LEG
283,LDOS
284,LEN
285,LLY
286,LNC
287,LIN
288,LYV
289,LKQ
290,LMT
291,L
292,LOW
293,LUMN
294,LYB
295,MTB
296,MRO
297,MPC
298,MKTX
299,MAR
300,MMC
301,MLM
302,MAS
303,MA
304,MKC
305,MXIM
306,MCD
307,MCK
308,MDT
309,MRK
310,MET
311,MTD
312,MGM
313,MCHP
314,MU
315,MSFT
316,MAA
317,MRNA
318,MHK
319,TAP
320,MDLZ
321,MPWR
322,MNST
323,MCO
324,MS
325,MOS
326,MSI
327,MSCI
328,NDAQ
329,NTAP
330,NFLX
331,NWL
332,NEM
333,NWSA
334,NWS
335,NEE
